Ad Group,Month,Impressions,Clicks,CTR,Conversions,Conv Rate,Cost,CPC,Revenue,ROAS,Cost per con
Shop - 1:1 - Desk - [shop coupon code],July,16038,6504,0.41,1166,0.1,6669,1.03,6402,96.00,5.72
Shop - 1:1 - Desk - [shop coupon],July,36462,14367,0.39,2188,0.09,13746,0.96,13262,96.48,6.28
Shop - 1:1 - Desk - [shop discount code],July,3635,1458,0.4,248,0.09,1606,1.1,1723,107.29,6.48
Shop - 1:1 - Desk - [shop promo code],July,26185,10418,0.4,2294,0.12,13278,1.27,13042,98.22,5.79
Shop - 1:1 - Desk - [shop promo],July,808,282,0.35,61,0.15,391,1.39,337,86.19,6.41
Shop - 1:1 - Mob - [shop coupon code],July,46507,21756,0.47,1665,0.05,13157,0.6,8550,64.98,7.90
Shop - 1:1 - Mob - [shop coupon],July,152394,59177,0.39,2666,0.04,19371,0.33,13699,70.72,7.27
Shop - 1:1 - Mob - [shop discount code],July,9950,4283,0.43,347,0.05,2637,0.62,2038,77.28,7.60
Shop - 1:1 - Mob - [shop promo code],July,57373,27121,0.47,2940,0.07,16946,0.62,14565,85.95,5.76
Shop - 1:1 - Mob - [shop promo],July,1875,706,0.38,69,0.07,485,0.69,409,84.33,7.03
Shop - Exact - Desk - Competitor,July,721,195,0.27,25,0.09,188,0.97,188,100.00,7.52
Shop - Exact - Desk - Coupon Code,July,8053,2678,0.33,392,0.08,2814,1.05,2475,87.95,7.18
Shop - Exact - Desk - Discount Code,July,2181,539,0.25,70,0.08,577,1.07,449,77.82,8.24
Shop - Exact - Desk - Free Shipping,July,656,168,0.26,29,0.17,65,0.39,84,129.23,2.24
Shop - Exact - Desk - Offer,July,490,115,0.23,26,0.12,221,1.92,149,67.42,8.50
Shop - Exact - Desk - Promo Code,July,7366,2693,0.37,536,0.11,3469,1.29,3089,89.05,6.47
Shop - Exact - Desk - Sale,July,6318,598,0.09,46,0.07,416,0.7,278,66.83,9.04
Shop - Exact - Mob - Competitor,July,1771,594,0.34,34,0.05,272,0.46,177,65.07,8.00
Shop - Exact - Mob - Coupon Code,July,27672,9335,0.34,478,0.04,4105,0.44,2783,67.80,8.59
Shop - Exact - Mob - Discount Code,July,6278,1506,0.24,59,0.03,817,0.54,313,38.31,13.85
Shop - Exact - Mob - Free Shipping,July,881,272,0.31,15,0.07,63,0.23,22,34.92,4.20
Shop - Exact - Mob - Offer,July,1029,256,0.25,24,0.07,212,0.83,208,98.11,8.83
Shop - Exact - Mob - Promo Code,July,17771,6635,0.37,590,0.06,4404,0.66,3444,78.20,7.46
Shop - Exact - Mob - Sale,July,9812,1008,0.1,42,0.04,413,0.41,202,48.91,9.83
Shop - Phrase - Desk - Competitor,July,36,5,0.14,2,0.33,5,1.05,13,260.00,2.50
Shop - Phrase - Desk - Coupon Code,July,9751,3402,0.35,579,0.1,3792,1.11,3547,93.54,6.55
Shop - Phrase - Desk - Discount Code,July,1062,147,0.14,13,0.06,135,0.92,67,49.63,10.38
Shop - Phrase - Desk - Free Shipping,July,66,8,0.12,0,0,3,0.48,0,0.00,#DIV/0!
Shop - Phrase - Desk - Offer,July,389,54,0.14,10,0.19,58,1.09,63,108.62,5.80
Shop - Phrase - Desk - Promo Code,July,5919,1954,0.33,408,0.12,2396,1.23,2400,100.17,5.87
Shop - Phrase - Desk - Sale,July,8180,593,0.07,34,0.07,426,0.72,232,54.46,12.53
Shop - Phrase - Mob - Competitor,July,55,11,0.2,2,0.1,5,0.51,16,320.00,2.50
Shop - Phrase - Mob - Coupon Code,July,18457,6762,0.37,380,0.04,3660,0.54,2262,61.80,9.63
Shop - Phrase - Mob - Discount Code,July,1813,264,0.15,4,0.01,138,0.53,21,15.22,34.50
Shop - Phrase - Mob - Free Shipping,July,118,15,0.13,0,0,6,0.4,0,0.00,#DIV/0!
Shop - Phrase - Mob - Offer,July,593,109,0.18,3,0.04,52,0.49,8,15.38,17.33
Shop - Phrase - Mob - Promo Code,July,9838,3509,0.36,282,0.06,2562,0.73,1836,71.66,9.09
Shop - Phrase - Mob - Sale,July,17807,2054,0.12,35,0.03,981,0.48,262,26.71,28.03
Shop - 1:1 - Mob - [shop promo code],August,40627,17655,0.43,1968,0.07,12262,0.69,10303,84.02,6.23
Shop - 1:1 - Desk - [shop promo code],August,19648,7673,0.39,1622,0.11,11235,1.46,9928,88.37,6.93
Shop - 1:1 - Mob - [shop coupon],August,105966,32005,0.3,1530,0.04,10713,0.33,8473,79.09,7.00
Shop - 1:1 - Desk - [shop coupon],August,28499,10141,0.36,1509,0.08,10586,1.04,8859,83.69,7.02
Shop - 1:1 - Mob - [shop coupon code],August,34189,13905,0.41,1218,0.06,8146,0.59,6766,83.06,6.69
Shop - 1:1 - Desk - [shop coupon code],August,12790,4983,0.39,897,0.1,6123,1.23,5590,91.30,6.83
Shop - Exact - Desk - Promo Code,August,6561,2328,0.35,498,0.11,3467,1.49,3316,95.64,6.96
Shop - Exact - Mob - Promo Code,August,13488,4605,0.34,435,0.06,2884,0.63,2678,92.86,6.63
Shop - Exact - Desk - Coupon Code,August,6244,2020,0.32,327,0.09,2267,1.12,2115,93.30,6.93
Shop - Phrase - Desk - Promo Code,August,4729,1635,0.35,315,0.11,2229,1.36,2010,90.17,7.08
Shop - Exact - Mob - Coupon Code,August,16969,5126,0.3,340,0.05,2176,0.42,1992,91.54,6.40
Shop - Phrase - Desk - Coupon Code,August,5283,1632,0.31,226,0.08,1767,1.08,1455,82.34,7.82
Shop - 1:1 - Mob - [shop discount code],August,7544,2523,0.33,216,0.05,1590,0.63,1591,100.06,7.36
Shop - 1:1 - Desk - [shop discount code],August,2938,1111,0.38,197,0.09,1571,1.41,1203,76.58,7.97
Shop - Phrase - Mob - Promo Code,August,7040,2407,0.34,214,0.06,1430,0.59,1373,96.01,6.68
Shop - Phrase - Mob - Coupon Code,August,8203,2504,0.31,146,0.04,1148,0.46,851,74.13,7.86
Shop - Exact - Desk - Discount Code,August,2263,556,0.25,74,0.08,627,1.13,516,82.30,8.47
Shop - Phrase - Desk - Sale,August,6770,629,0.09,37,0.06,486,0.77,240,49.38,13.14
Shop - Exact - Mob - Discount Code,August,3973,933,0.23,52,0.04,406,0.44,470,115.76,7.81
Shop - Phrase - Mob - Sale,August,7044,947,0.13,35,0.04,401,0.42,285,71.07,11.46
Shop - 1:1 - Mob - [shop promo],August,1489,472,0.32,61,0.08,347,0.74,295,85.01,5.69
Shop - 1:1 - Desk - [shop promo],August,745,240,0.32,52,0.11,343,1.43,346,100.87,6.60
Shop - Exact - Desk - Offer,August,613,163,0.27,39,0.12,329,2.02,274,83.28,8.44
Shop - Exact - Desk - Sale,August,3187,341,0.11,20,0.04,273,0.8,162,59.34,13.65
Shop - Exact - Mob - Sale,August,3884,565,0.15,27,0.04,229,0.41,173,75.55,8.48
Shop - Phrase - Desk - Offer,August,618,149,0.24,25,0.09,182,1.23,106,58.24,7.28
Shop - Exact - Mob - Offer,August,986,248,0.25,24,0.06,177,0.71,162,91.53,7.38
Shop - Phrase - Desk - Discount Code,August,1088,159,0.15,15,0.06,163,1.03,87,53.37,10.87
Shop - Exact - Desk - Competitor,August,591,153,0.26,24,0.1,161,1.05,173,107.45,6.71
Shop - Exact - Mob - Competitor,August,1113,333,0.3,14,0.04,142,0.43,76,53.52,10.14
Shop - Phrase - Mob - Discount Code,August,1303,233,0.18,9,0.03,111,0.48,51,45.95,12.33
Shop - Phrase - Mob - Offer,August,689,172,0.25,13,0.05,89,0.52,57,64.04,6.85
Shop - Exact - Desk - Free Shipping,August,678,163,0.24,28,0.17,76,0.47,70,92.11,2.71
Shop - Exact - Mob - Free Shipping,August,817,274,0.34,19,0.07,68,0.25,29,42.65,3.58
Shop - Phrase - Mob - Free Shipping,August,111,27,0.24,0,0,8,0.3,0,0.00,#DIV/0!
Shop - Phrase - Mob - Competitor,August,50,13,0.26,3,0.13,6,0.53,41,683.33,2.00
Shop - Phrase - Desk - Free Shipping,August,67,8,0.12,1,0.07,6,0.81,0,0.00,6.00
Shop - Phrase - Desk - Competitor,August,35,3,0.09,0,0,1,0.62,0,0.00,#DIV/0!
Shop - 1:1 - Mob - [shop coupon],September,90806,40622,0.45,1421,0.03,10904,0.27,7891,72.37,7.67
Shop - 1:1 - Mob - [shop promo code],September,32462,14427,0.44,1510,0.06,9562,0.66,8838,92.43,6.33
Shop - 1:1 - Desk - [shop promo code],September,15673,6199,0.4,1242,0.11,9163,1.48,7264,79.28,7.38
Shop - 1:1 - Desk - [shop coupon],September,20879,8135,0.39,1034,0.07,8069,0.99,6153,76.25,7.80
Shop - 1:1 - Mob - [shop coupon code],September,26710,11918,0.45,921,0.05,6628,0.56,5604,84.55,7.20
Shop - 1:1 - Desk - [shop coupon code],September,9759,3904,0.4,593,0.08,4949,1.27,3973,80.28,8.35
Shop - Exact - Desk - Promo Code,September,5480,2003,0.37,371,0.1,2984,1.49,3013,100.97,8.04
Shop - Exact - Mob - Promo Code,September,10938,4247,0.39,343,0.05,2486,0.59,2410,96.94,7.25
Shop - Exact - Mob - Coupon Code,September,16362,5876,0.36,302,0.04,2199,0.37,1970,89.59,7.28
Shop - Exact - Desk - Coupon Code,September,5304,1702,0.32,216,0.07,1912,1.12,1451,75.89,8.85
Shop - Phrase - Desk - Promo Code,September,3939,1321,0.34,205,0.09,1845,1.4,1678,90.95,9.00
Shop - Phrase - Desk - Coupon Code,September,3255,1077,0.33,166,0.08,1413,1.31,1391,98.44,8.51
Shop - 1:1 - Mob - [shop discount code],September,5471,2169,0.4,170,0.05,1302,0.6,1153,88.56,7.66
Shop - 1:1 - Desk - [shop discount code],September,2163,866,0.4,139,0.08,1165,1.35,1073,92.10,8.38
Shop - Phrase - Mob - Coupon Code,September,6231,2152,0.35,143,0.04,1096,0.51,947,86.41,7.66
Shop - Phrase - Mob - Promo Code,September,4655,1583,0.34,110,0.05,826,0.52,753,91.16,7.51
Shop - Exact - Desk - Sale,September,9989,1176,0.12,43,0.05,574,0.49,249,43.38,13.35
Shop - Phrase - Desk - Offer,September,1498,377,0.25,55,0.09,546,1.45,303,55.49,9.93
Shop - Exact - Mob - Discount Code,September,4224,1181,0.28,54,0.03,519,0.44,327,63.01,9.61
Shop - Exact - Desk - Discount Code,September,1650,432,0.26,48,0.06,457,1.06,406,88.84,9.52
Shop - Phrase - Desk - Sale,September,6314,526,0.08,26,0.06,400,0.76,157,39.25,15.38
Shop - Phrase - Mob - Offer,September,2018,621,0.31,45,0.05,373,0.6,308,82.57,8.29
Shop - 1:1 - Desk - [shop promo],September,548,200,0.36,39,0.11,279,1.4,251,89.96,7.15
Shop - 1:1 - Mob - [shop promo],September,1255,439,0.35,38,0.06,272,0.62,207,76.10,7.16
Shop - Exact - Desk - Offer,September,628,148,0.24,21,0.09,240,1.62,202,84.17,11.43
Shop - Exact - Mob - Offer,September,1288,340,0.26,20,0.04,239,0.7,143,59.83,11.95
Shop - Phrase - Mob - Sale,September,6444,593,0.09,27,0.05,231,0.39,221,95.67,8.56
Shop - Phrase - Mob - Discount Code,September,1848,447,0.24,28,0.05,217,0.49,179,82.49,7.75
Shop - Exact - Mob - Sale,September,8902,661,0.07,25,0.04,216,0.33,173,80.09,8.64
Shop - Exact - Mob - Competitor,September,1077,368,0.34,14,0.03,164,0.45,67,40.85,11.71
Shop - Phrase - Desk - Discount Code,September,810,123,0.15,17,0.09,134,1.09,121,90.30,7.88
Shop - Exact - Desk - Competitor,September,514,123,0.24,16,0.1,130,1.06,110,84.62,8.13
Shop - Exact - Desk - Free Shipping,September,499,116,0.23,14,0.11,52,0.45,74,142.31,3.71
Shop - Exact - Mob - Free Shipping,September,560,178,0.32,7,0.05,39,0.22,12,30.77,5.57
Shop - Phrase - Mob - Free Shipping,September,98,22,0.22,0,0,6,0.29,0,0.00,#DIV/0!
Shop - Phrase - Mob - Competitor,September,54,9,0.17,1,0.11,4,0.45,1,25.00,4.00
Shop - Phrase - Desk - Free Shipping,September,52,4,0.08,1,0.5,1,0.43,20,2000.00,1.00
Shop - Phrase - Desk - Competitor,September,38,2,0.05,0,0,1,0.57,0,0.00,#DIV/0!
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
